ABAK	a.	Eski Türklerde ölmüş kimselerin heykel vb. suretleri
ABİŞ	a.,jeol.	Madenleri toz hâline getirmeye yarayan küçük, çelik havan
ABLİ	a.,den.	Yatay serenlerin ucuna bağlı bulunan ve bunları sağa, sola veya ortaya çevirmek için yararlanılan halat veya palanga
ABRA	a.,ağz.	► dara
ABUK	sf.	► saçma
ABUS	sf.,esk.	► somurtkan
ACEM	a.,müz.	Klasik Türk müziğinde kullanılan birleşik bir makam
ACEP	zf.	► acaba
ÂCİZ	sf.	Bir işi yapabilecek gücü, becerisi veya yeteneği olmayan
ACUL	sf.	► aceleci
ACUR	a.,bit. b.	Kabakgillerden, Ege ve Güneydoğu Anadolu’da yetişen, kabuğu çizgili ve tüylü, yeşil veya sarımtırak, üzeri yeşil lekeli, bir yıllık, otsu, irice bir meyve (Cucumis flexuosus)
ACVE	a.	Medine'de yetişen, koyu renkli, tombul çekirdekli iyi cins bir tür hurma
ACYO	a.,tic.	Herhangi bir paranın gerçek değeriyle sürüm değeri arasında veya bir ticaret senedinin üzerinde yazılı miktar ile indirimden sonraki tutarı arasında doğan fark
AÇAN	a.,anat.	Oynak kemiklerin arasındaki açıları genişletmeye yarayan kasların genel adı, büken karşıtı
AÇAR	a.	► anahtar
AÇIM	a.	Açmak işi
AÇIŞ	a.	Açmak işi
AÇKI	a.	Bir cismin yüzeyi üzerinde sert bir madde veya bir araç sürterek onu düzleştirip parlatma
ADAP	a.	► töre
ADAT	a.	Töreler, âdetler
ADCI	sf.,fel.	Adcılık öğretisine bağlı (kimse); isimci
ADEM	a.,esk.	► yokluk
ÂDEM	a.	► insan
ÂDET	a.,top. b.	► görenek
ADIL	a.,db.	► zamir (I)
ADLI	sf.	... adını taşıyan; isimli
AFAK	a.,esk.	Ufuklar
AFAT	a.,esk.	Afetler
AFİF	sf.,esk.	► iffetli (erkek)
AFİS	a.,hay. b.	Gümüş balığının küçüğü
AFİŞ	a.	Bir şeyi duyurmak veya tanıtmak için hazırlanan, kalabalığın görebileceği yere asılmış, genellikle resimli duvar ilanı; ası
AGÂH	sf.,esk.	► bilgili
AGEL	a.	Arap erkeklerinin kefiyelerinin üzerine bağladıkları, yünden örülmüş kalın çember bağ
AGUŞ	a.,esk.	► kucak
AĞCA	sf.	► akça (I)
AĞCI	a.	Ağ ile balık tutarak geçinen kimse
AĞIM	a.	Ayağın üstündeki tümsek yer
