ABAJUR	a.	Işığı bir yere toplamak, doğrudan doğruya gözlere vurmasını önlemek için kullanılan, kâğıt, kumaş, maden veya renkli camdan yapılmış lamba siperi
ABAKÜS	a.,mat.	► sayı boncuğu
ABANIŞ	a.	Abanma işi
ABANMA	a.	Abanmak işi
ABANOZ	a.,bit. b.	Abanozgillerden, sıcak ülkelerde yetişen, kerestesinden yararlanılan birçok ağacın ortak adı (Diospyros ebenum)
ABARTI	a.	Bir şeyi, bir olayı olduğundan büyük veya çok gösterme; mübalağa
ABASIZ	sf.	Aba giymemiş olan
ABAZAN	sf.,argo	Uzun süre cinsel ilişkide bulunmayan (erkek)
ABDEST	a.,din b.	İslam dinine göre namaz kılmak, Kur’an okumak, Kâbe’yi tavaf etmek gibi ibadetleri yerine getirebilmek için niyet ederek el, ağız, burun, yüz, kol ve ayakları yıkamak; baş, kulaklar ve boynun iki yanını meshetmek yoluyla arınma
ABLACI	a.,argo	► sevici
ABLUKA	a.,ask.	► kuşatma
ABORDA	a.,den.	Bir deniz teknesinin başka bir tekneye, bir iskeleye veya bir rıhtıma yanını vererek yanaşması
ABRAMA	a.	Abramak işi
ABSENT	a.	Pelinden yapılan sert bir içki
ABSTRE	sf.,fel.	► soyut
ABSÜRT	sf.	► saçma
ABUKÇA	zf.	Saçma bir biçimde
ACAYİP	sf.	Sağduyuya, göreneğe, olağana aykırı, yadırganan; yabansı, garip, tuhaf
ACENTE	a.	Bir kuruluşun yaptığı işi onun adına kazanç karşılığında yürüten daha küçük kuruluş
ACIKIŞ	a.	Acıkmak durumu
ACIKLI	sf.	Acındıracak, acı verecek nitelikte olan; elim, koygun, dramatik
ACIKMA	a.	Acıkmak işi
ACILIK	a.	Acı olma durumu; meraret
ACIMAK	nsz.	► acılaşmak
ACIMIK	a.,bit. b.	► mavikantaron
ACIMSI	sf.	Acıyı andıran, acıya benzeyen, acı gibi; acımtırak
ACINIŞ	a.	Acınmak işi
ACINMA	a.	Acınmak durumu
ACIRAK	sf.,ağz.	Az acı
ACIRGA	a.,ağz.	► yaban turpu
ACISIZ	sf.	Tadı acı olmayan
ACITIŞ	a.	Acıtmak işi
ACITMA	a.	Acıtmak işi
ACIYIŞ	a.	Acımak durumu
ACİLEN	zf.	► çabucak
ACYOCU	a.	Borsa veya piyasada tahvil için çeşitli hileler uygulayan, dolaplar çeviren kimse
AÇACAK	a.	Şişelenmiş bazı içeceklerin kapaklarını açmaya yarayan araç
AÇELYA	a.,bit. b.	Kokusuz, güzel renkli çiçekler açan bir bitki (Rhododendron)
AÇIKÇA	zf.	Gizli bir yönü kalmaksızın, kolay anlaşılır bir biçimde; alenen
AÇIKÇI	a.,ekon.	Borsada fiyat dalgalanmalarından yararlanarak açıktan para kazanan kimse
AÇILIM	a.	Açılmak işi
AÇILIŞ	a.	Açılmak işi
AÇILMA	a.	Açılmak işi; küşayiş
AÇINIM	a.	Açınmak işi
AÇINMA	a.	Açınmak işi
AÇISAL	sf.	Açı ile ilgili; zaviyevi
AÇKICI	a.	Açkı yapan kimse; perdahçı
AÇKILI	sf.	Açkı yapılmış
AÇMACI	a.	Açma yapan veya satan kimse
ADACIK	a.	Küçük ada
ADACYO	a.,müz.	Yavaş, ağır bir biçimde çalınan beste
ADAKLI	sf.	Adağı olan, adak adamış olan
ADALAT	a.,anat.	Kaslar
ADAMAK	-e,-i	Bir dileğin gerçekleşmesi amacıyla kutsal olduğuna inanılan bir güce niyette bulunmak; nezretmek
ADAMCA	zf.	İnsana yaraşır bir biçimde; adamcasına
ADAMCI	sf.	Adam kayıran, kendi adamlarını tutan
ADANIŞ	a.	Adanmak işi
ADANMA	a.	Adanmak işi
ADAPTE	sf.	Uyarlanmış
ADATIŞ	a.	Adatmak işi
ADATMA	a.	Adatmak işi
ADAVET	a.,esk.	► düşmanlık
ADAYIŞ	a.	Adamak işi
ÂDEMCİ	sf.,ed.	Âdemcilik yanlısı olan
ADENİT	a.,tıp	► ak kan bezi yangısı
ADETÇE	zf.	► sayıca
ADİLİK	a.	► aşağılık
ADLİYE	a.	Hukuk ve adalet işlerini gören devlet kurumu
AFACAN	sf.	Zeki ve yaramaz (çocuk)
AFAKAN	a.	► hafakan
AFERİN	ünl.	Övme, takdir, beğenme vb. duyguları belirtmek için söylenen söz
AFİŞÇİ	a.	Afiş yapan veya asan kimse
AFİYET	a.	Ruhsal ve bedensel olarak sağlıklı, sıhhatli olma durumu
AFOROZ	a.,din b.	Hristiyanlıkta kilise tarafından verilen cemaatten kovma cezası
AGANTA	a.,den.	Çekilmekte veya bırakılmakta olan bir halatın veya zincirin kısa bir süre elde tutulup bırakılmaması için verilen emir
AGNOSİ	a.,ruh b.	► tanısızlık
AGNOZİ	a.,ruh b.	Tanısızlık
AGRAFİ	a.,ruh b.	► yazma yitimi
AGREGA	a.	► katışmaç
AGUCUK	ünl.	Süt çocuğunu sevmek için söylenen bir söz; agu
AĞABEY	a.	Büyük erkek kardeş; ağa, aka, ede, efe
AĞACIK	a.	Ağalara sevgiyle yaklaşıldığında söylenen bir söz
AĞAÇLI	sf.	Ağacı olan
AĞAÇSI	sf.	Ağacı andıran, ağaca benzeyen, ağaç gibi; ağacımsı
AĞALIK	a.	Ağa olma durumu
AĞARIK	sf.	Beyazlaşmış
AĞARIŞ	a.	► beyazlayış
AĞARMA	a.	► beyazlaşma
AĞARTI	a.	► beyazlık
AĞDACI	a.	Şeker, tatlı ve helva yapımında ağda hazırlayan işçi
AĞDALI	sf.	Ağda kıvamına gelmiş
AĞIMLI	sf.	Ağımı olan (ayak)
AĞINMA	a.	Ağınmak işi
AĞIRCA	sf.	Oldukça ağır
AĞITÇI	a.	Ölüye ağıt söylemek için tutulan kimse; ağlayıcı, sagucu, mersiyehan
AĞIZLI	sf.	Ağzı herhangi bir biçimde olan
AĞLAMA	a.	Ağlamak işi
AĞLATI	a.,tiy.	► trajedi
AĞNAMA	a.	Ağnamak işi
AĞRILI	sf.	Ağrıyan, ağrısı olan
AĞRIMA	a.	Ağrımak işi
AHACIK	ünl.,ağz.	► işte
AHARCI	a.	Kâğıt aharlayan kimse
AHARLI	sf.	Üzerine ahar sürülmüş olan
AHESTE	sf.	► yavaş
AHİLİK	a.	► cömertlik
AHİREN	zf.,esk.	Son zamanlarda, son günlerde
AHİRET	a.,din b.	Dinî inanışa göre, insanın öldükten sonra dirilip sonsuza dek kalacağı ve Tanrı'ya hesap vereceği yer; öbür dünya, öteki dünya, ahret
AHLAKİ	sf.	Ahlaka uygun, ahlakla ilgili; aktöresel, sağtöresel, törel, etik
AHLAMA	a.	Ahlamak işi
AHUVAH	a.	► ah vah
AİLECE	zf.	Aile fertlerinin hepsinin katılımıyla, ev halkıyla birlikte; ailecek, aile boyu, maaile
AİLEVİ	sf.	Aileye dayalı
AİTLİK	a.	Ait olma durumu; aidiyet
