GELİR	a.	Bir kimseye veya topluluğa belli zamanlarda, belli yerlerden gelen para; hasılat, varidat
GELİŞ	a.	Gelmek işi; vürut
GELME	a.	Gelmek işi
GEMRE	a.,bit. b.	Son turfanda yetişen, sert kabuklu bir tür siyah üzüm
GENEL	sf.	Bir şeye veya bir kimseye özgü olmayıp onun bütün benzerlerini içine alan; umumi
GENİŞ	sf.	Eni çok olan; enli, gen (I), vâsi
GENİZ	a.	Ağız ve burun boşluğunun arka bölümü
GENOM	a.,biy.	Gametlerde bulunan kromozomlar
GEOİT	a.	Yerkürenin geometrik olmayan gerçek biçimi
GERÇİ	zf.	Her ne kadar ... ise de; vâkıâ
GEREÇ	a.	Belirli bir işi yapmak için kullanılması gereken maddeler; materyal
GEREK	a.	Varlığına ihtiyaç duyulan, yapılması, edinilmesi icap eden şey; lüzum
GEREN	a.,ağz.	Kuruyunca çatlayan toprak, verimsiz, tuzlu, killi toprak
GERGİ	a.,ağz.	► perde
GERİM	a.,tıp	Dinlenme durumundaki kasın normal gerginliği
GERİŞ	a.	Germek işi
GERİZ	a.	► lağım
GERME	a.	Germek işi
GETTO	a.	Bir yerleşim bölgesinin, aynı şehir, ülke veya kültürden gelen insanların yerleştiği bölümü
GEVEN	a.,bit. b.	Baklagillerden, çok yıllık, bazı türlerinden kitre denilen zamk çıkarılan, arıcılıkta aromasından faydalanılan, eğimli alanlarda toprağı koruyan, eczacılık, boya, dokuma ve kâğıt sanayisinde ham madde olarak kullanılan, dikenli bir çalı; keven (Astragalus)
GEVİŞ	a.	Bazı hayvanların yutmuş olduğu yiyeceği ağzına getirip yeniden çiğnemesi
GEVME	a.	Gevmek işi
GEYİK	a.,hay. b.	Geyikgillerden, erkeklerinin başında uzun ve çatallı boynuzları olan memeli hayvan (Cervus elaphus)
GEYŞA	a.	Dansçı ve şarkıcı Japon kadını
GEZİŞ	a.	Gezmek işi
GEZME	a.	Gezmek işi; seyran
GICIK	a.	Boğazda duyulup aksırtan, öksürten yakıcı kaşıntı
GICIR	sf.,argo	► yeni
GIDIK	a.	Bir kimseyi vücudundaki hassas yerlere bir an için dokunarak güldürme veya sinirlendirme işi
GIDIM	a.	Küçük bir parça, bir miktar
GIPTA	a.	► imrenme
GIRLA	zf.,tkz.	► alabildiğine
GIYAP	a.	Yokluk, bulunmama; yitiklik
GİDER	a.	Bir iş için harcanan paranın bütünü; masraf
GİDİM	a.	Gitmek işi
GİDİŞ	a.	Gitmek işi; azimet
GİDON	a.	► yönelteç
GİRAY	a.,tar.	Kırım’da XV. yüzyıl başından 1783’e kadar hüküm süren hanedan
GİRDİ	a.,tic.	Bir üretimde yararlanılan para, gereç ve iş gücü, çıktı karşıtı
GİREN	a.,ağz.	Hafif bulutlu, sisli hava
GİRİM	a.	Girmek işi
GİRİŞ	a.	Girmek işi
GİRME	a.	Girmek işi; intisap
GİTAR	a.,müz.	Genellikle ahşap gövdeli, perdeli, altı teli olan, telleri parmakla çekilerek veya pena ile vurularak çalınan bir telli çalgı
GİTME	a.	Gitmek işi
GİTTİ		geçmiş zaman kipindeki fiillerden sonra gelerek istenmeyen bir şeyin yapıldığını, yapılacağını, istenen bir şeyin olmadığını veya olmayacağını anlatan bir söz
GİYİM	a.	Giymek işi
GİYİŞ	a.	Giymek işi
GİYİT	a.	► giysi
GİYME	a.	Giymek işi
GİYSİ	a.	Her türlü giyim eşyası; giyecek, giyim, giyit, don (I), çul, üst, elbise, kılık kıyafet, kıyafet, esvap, libas, ruba, urba
GİZEM	a.	► sır (II)
GİZİL	sf.	► potansiyel
GİZLİ	sf.	Görünmez, belli olmaz bir durumda olan; mahfi, edimsel karşıtı
GLASE	a.	Yumuşak deri
GNAYS	a.,jeol.	Kuvars, mika ve feldspattan birleşmiş kayaç
GOCUK	a.	Tek parça hayvan postundan yapılan ceket
GODOŞ	a.	► pezevenk
GOFRE	a.	Klişe aracılığıyla kâğıtta kabartma yapmaya yarayan basımcılık tekniği
GOLCÜ	a.	Çok gol atan oyuncu
GOLLÜ	sf.	Golü olan
GONCA	a.,bit. b.	Henüz açılmamış veya açılmak üzere olan çiçek; tomurcuk
GORİL	a.,hay. b.	Afrika'nın Ekvator bölgesinde ormanlarda yaşayan, iri ve güçlü bir tür maymun (Gorilla gorilla)
GÖBEK	a.	İnsan ve memeli hayvanlarda göbek bağının düşmesinden sonra karnın ortasında bulunan çukurluk
GÖBEL	a.,ağz.	Kimsesiz, başıboş çocuk
GÖBÜT	a.,ağz.	Yuvarlak, yassı, içine yumurta vb. malzemeler konan ekmek
GÖCEN	a.,ağz.	Tavşan yavrusu
GÖÇER	sf.	► göçebe
GÖÇME	a.	Göçmek işi
GÖÇÜK	a.	Çökmüş, kaymış toprak, çöküntü, yıkıntı
GÖÇÜM	a.,biy.	Bazı kimyasal maddelerin veya ışık, ısı, elektrik vb. güçlerin etkisiyle protoplazmanın yanaşma veya uzaklaşma biçiminde olan yer değiştirmesi; taksi (II)
GÖÇÜŞ	a.	Göçmek işi
GÖDEN	a.,anat.	Kalın bağırsağın son bölümü; göden bağırsağı, rektum
GÖDEŞ	sf.,ağz.	Semiz, etli
GÖĞEM	a.,ağz.	Yeşile çalan mor renk
GÖĞÜS	a.	Vücudun boyunla karın arasında bulunan ve kalp, akciğer vb. organları içine alan bölümü; bağır, sine
GÖKÇE	a.	Gök rengi, mavi
GÖLEK	a.,ağz.	► gölet
GÖLET	a.,ağz.	Birikinti suların sulamak amacıyla genellikle bir set ardında toplandığı küçük göl; gölcük, gölek, büvet (I), büğet
GÖLGE	a.	Saydam olmayan bir cisim tarafından ışığın engellenmesiyle ışıklı yerde oluşan karanlık; saye
GÖLÜK	a.,ağz.	Yük taşıyan ve binilen at, eşek, beygir, katır vb. hayvan
GÖMME	a.	Gömmek işi
